@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute raw-1 numeric
@attribute raw-2 numeric
@attribute raw-3 numeric
@attribute raw-4 numeric
@attribute raw-5 numeric
@attribute raw-6 numeric
@attribute raw-7 numeric
@attribute raw-8 numeric
@attribute raw-9 numeric
@attribute raw-10 numeric
@attribute raw-11 numeric
@attribute raw-12 numeric
@attribute raw-13 numeric
@attribute raw-14 numeric
@attribute raw-15 numeric
@attribute raw-16 numeric
@attribute raw-17 numeric
@attribute raw-18 numeric
@attribute raw-19 numeric
@attribute raw-20 numeric
@attribute raw-21 numeric
@attribute raw-22 numeric
@attribute raw-23 numeric
@attribute raw-24 numeric
@attribute raw-25 numeric
@attribute raw-26 numeric
@attribute raw-27 numeric
@attribute raw-28 numeric
@attribute raw-29 numeric
@attribute raw-30 numeric
@attribute raw-31 numeric
@attribute raw-32 numeric
@attribute raw-33 numeric
@attribute raw-34 numeric
@attribute raw-35 numeric
@attribute raw-36 numeric
@attribute raw-37 numeric
@attribute raw-38 numeric
@attribute raw-39 numeric
@attribute raw-40 numeric
@attribute raw-41 numeric
@attribute raw-42 numeric
@attribute raw-43 numeric
@attribute raw-44 numeric
@attribute raw-45 numeric
@attribute raw-46 numeric
@attribute raw-47 numeric
@attribute raw-48 numeric
@attribute raw-49 numeric
@attribute raw-50 numeric
@attribute raw-51 numeric
@attribute raw-52 numeric
@attribute raw-53 numeric
@attribute raw-54 numeric
@attribute raw-55 numeric
@attribute raw-56 numeric
@attribute raw-57 numeric
@attribute raw-58 numeric
@attribute raw-59 numeric
@attribute raw-60 numeric
@attribute raw-61 numeric
@attribute raw-62 numeric
@attribute raw-63 numeric
@attribute raw-64 numeric
@attribute raw-65 numeric
@attribute raw-66 numeric
@attribute raw-67 numeric
@attribute raw-68 numeric
@attribute raw-69 numeric
@attribute raw-70 numeric
@attribute raw-71 numeric
@attribute raw-72 numeric
@attribute raw-73 numeric
@attribute raw-74 numeric
@attribute raw-75 numeric
@attribute raw-76 numeric
@attribute raw-77 numeric
@attribute raw-78 numeric
@attribute raw-79 numeric
@attribute raw-80 numeric
@attribute raw-81 numeric
@attribute raw-82 numeric
@attribute raw-83 numeric
@attribute raw-84 numeric
@attribute raw-85 numeric
@attribute raw-86 numeric
@attribute raw-87 numeric
@attribute raw-88 numeric
@attribute raw-89 numeric
@attribute raw-90 numeric
@attribute raw-91 numeric
@attribute raw-92 numeric
@attribute raw-93 numeric
@attribute raw-94 numeric
@attribute raw-95 numeric
@attribute raw-96 numeric
@attribute raw-97 numeric
@attribute raw-98 numeric
@attribute raw-99 numeric
@attribute raw-100 numeric
@attribute raw-101 numeric
@attribute raw-102 numeric
@attribute raw-103 numeric
@attribute raw-104 numeric
@attribute raw-105 numeric
@attribute raw-106 numeric
@attribute raw-107 numeric
@attribute raw-108 numeric
@attribute raw-109 numeric
@attribute raw-110 numeric
@attribute raw-111 numeric
@attribute raw-112 numeric
@attribute raw-113 numeric
@attribute raw-114 numeric
@attribute raw-115 numeric
@attribute raw-116 numeric
@attribute raw-117 numeric
@attribute raw-118 numeric
@attribute raw-119 numeric
@attribute raw-120 numeric
@attribute raw-121 numeric
@attribute raw-122 numeric
@attribute raw-123 numeric
@attribute raw-124 numeric
@attribute raw-125 numeric
@attribute raw-126 numeric
@attribute raw-127 numeric
@attribute raw-128 numeric
@attribute raw-129 numeric
@attribute raw-130 numeric
@attribute raw-131 numeric
@attribute raw-132 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2024/07/04 11:53:10:092',1,290.656921,133.699615,290.044067,166.778061,291.932068,199.609192,296.775726,235.233932,307.591034,275.610809,323.455475,314.833282,343.424194,350.804199,369.266266,381.038849,402.054138,399.204315,433.588898,392.674866,461.383392,371.06131,486.200684,343.590515,508.534515,311.96405,526.739258,276.513245,541.926758,243.214844,555.174255,211.719025,565.476868,179.304733,334.199036,116.009109,353.977966,103.229897,379.126923,99.288193,404.828003,104.288895,429.030151,114.498329,487.264221,120.641914,509.833649,115.074203,532.397034,114.746819,552.746887,121.026253,566.289978,134.322556,452.135284,158.793594,450.147034,187.291382,448.241333,215.671967,446.028992,243.391281,412.346008,247.75621,424.300659,255.496872,437.673859,260.530579,450.571991,259.364258,463.092957,255.263138,362.232147,149.76712,378.56839,140.347397,397.634735,142.864761,410.634399,155.216034,394.137115,158.543671,377.17392,157.222015,484.936371,163.248566,501.756592,154.235703,520.678894,155.999237,533.243225,168.819885,517.134277,173.268372,500.275574,170.43338,376.162445,287.084351,393.13324,280.111877,413.008789,276.949951,433.27652,284.376038,451.522034,282.499664,465.777191,290.512299,474.29483,301.029053,460.162903,315.373474,442.311768,323.741089,423.019135,325.841797,403.578857,317.642883,387.327393,304.440308,409.504425,290.109344,430.035767,296.973419,447.084595,295.673248,445.125244,301.721222,427.157562,304.398193,407.508179,296.218903,1
2,'2024/07/04 11:53:10:124',1,290.234711,134.682571,289.731079,167.686981,291.725922,200.443436,296.62854,235.935822,307.454468,276.09668,323.264862,315.092834,343.08017,350.94812,368.778564,381.089691,401.444214,399.157318,433.035583,392.748108,460.853271,371.15033,485.649506,343.655518,507.986847,312.092468,526.199524,276.721344,541.378113,243.417755,554.589722,211.869644,564.821289,179.406845,333.14801,116.148834,352.409607,103.415932,377.052429,99.323883,402.321228,104.019875,426.207703,113.759132,487.352142,120.494591,509.551331,115.074089,531.737793,114.73278,551.788269,120.814583,565.21521,133.794708,451.23111,158.403885,449.300751,186.817825,447.437286,215.096237,445.258331,242.701782,411.607361,247.545883,423.643951,255.181015,437.05249,260.158661,450.000641,259.01413,462.582184,254.989807,361.435272,149.615479,377.749542,140.14859,396.822815,142.605331,409.883301,154.916656,393.380096,158.320755,376.393646,157.043732,484.178528,162.835602,500.976501,153.812317,519.904175,155.589432,532.532471,168.393478,516.420105,172.867752,499.531494,170.046295,375.7789,286.84256,392.683929,279.838989,412.502045,276.691284,432.681732,284.111511,450.89212,282.18399,465.166016,290.158752,473.727997,300.677032,459.621735,315.036224,441.78418,323.417938,422.507904,325.519257,403.116272,317.365143,386.892059,304.182556,408.879669,289.851318,429.450317,296.696472,446.620911,295.407318,444.681274,301.405701,426.605774,304.058228,406.890289,295.911011,1
3,'2024/07/04 11:53:10:156',1,290.100189,134.601852,289.624664,167.722839,291.59967,200.593124,296.406006,236.133774,307.084198,276.240723,322.785767,315.194427,342.608551,350.945984,368.314423,380.982666,400.983398,398.94223,432.613159,392.493103,460.433716,370.846222,485.184875,343.296509,507.416687,311.684875,525.574951,276.393616,540.733459,243.167404,553.960999,211.65889,564.218506,179.217606,333.078583,115.727364,352.924561,102.812714,378.155731,98.839027,403.92749,103.854088,428.190399,114.110077,485.76355,120.215874,508.348999,114.638031,530.95697,114.32196,551.377075,120.639267,565.001587,134.053848,451.166931,158.103119,449.177063,186.51474,447.263519,214.80838,445.039368,242.460114,411.405457,247.240067,423.36972,255.011902,436.775726,260.032928,449.653473,258.885193,462.13623,254.752975,361.139069,149.282837,377.452789,139.919281,396.488342,142.406158,409.527252,154.715332,393.044922,157.973343,376.097473,156.653427,483.882599,162.807709,500.632996,153.853897,519.499084,155.613113,532.070068,168.392334,516.010254,172.752853,499.201416,169.910431,375.229675,286.714355,392.22287,279.803833,412.050018,276.679626,432.239197,284.031189,450.398193,282.211578,464.63382,290.184509,473.209991,300.680878,459.138916,315.085693,441.309082,323.502197,421.993195,325.567841,402.546631,317.38562,386.338074,304.132935,408.514099,289.806549,429.028442,296.599548,446.043915,295.38028,444.117859,301.473083,426.1492,304.12088,406.492706,295.972046,1
4,'2024/07/04 11:53:10:191',1,289.325806,134.928635,289.061401,167.979767,291.272522,200.760132,296.291016,236.29158,307.096313,276.481445,322.915588,315.442627,342.778473,351.186798,368.496613,381.152039,401.098907,399.072632,432.736481,392.409576,460.558746,370.558533,485.293121,342.785553,507.562378,310.975311,525.738037,275.505676,540.794006,242.217651,553.853394,210.762741,563.893738,178.391785,330.832001,116.898842,349.861298,103.917221,374.442047,99.556564,399.734467,104.072479,423.705292,113.632111,486.253021,120.416229,508.328217,114.968086,530.411743,114.547997,550.375244,120.524307,563.7453,133.379471,449.845154,158.280624,447.973816,186.733704,446.156281,215.039215,444.021515,242.660141,410.581635,247.496002,422.68399,255.068253,436.125183,260.006927,449.047333,258.794128,461.597534,254.7323,359.480469,150.110657,375.773834,140.643234,394.893341,142.966782,408.135498,155.098892,391.595154,158.586182,374.548523,157.401947,482.950958,162.808533,499.709259,153.881882,518.650024,155.597885,531.379395,168.29892,515.25708,172.764282,498.340057,169.976151,374.787506,286.827698,391.652008,279.764099,411.49292,276.540741,431.742249,283.923401,450.029633,281.893646,464.405792,289.818756,473.038422,300.341675,458.970123,314.870483,441.118011,323.43808,421.754242,325.681366,402.274902,317.501648,385.987213,304.240784,407.905792,289.659241,428.603577,296.493622,445.945007,295.107819,444.024658,301.412628,425.758972,304.235352,405.899963,296.023987,1
5,'2024/07/04 11:53:10:228',1,289.27301,134.893051,288.861023,167.931686,290.917358,200.720779,295.809784,236.174316,306.540985,276.179138,322.247101,315.051147,342.042816,350.751831,367.692566,380.761902,400.328278,398.657288,431.935791,392.236481,459.73941,370.654907,484.464294,343.162231,506.641937,311.571228,524.721375,276.280884,539.785889,243.039032,552.927856,211.514755,563.112,179.069595,331.581909,116.23642,351.259674,103.249313,376.387817,99.176315,402.093994,104.082962,426.324951,114.195221,484.474396,120.285667,507.020477,114.72242,529.593811,114.384598,549.993835,120.661659,563.625732,134.024521,449.771118,157.991699,447.824524,186.364868,445.956238,214.619247,443.784027,242.234726,410.164001,247.251434,422.154755,254.966843,435.569946,259.941193,448.490997,258.795105,461.015045,254.672699,359.864014,149.596649,376.176086,140.180847,395.242401,142.657913,408.325989,154.959091,391.824951,158.258224,374.846497,156.980576,482.391876,162.856674,499.161285,153.84491,518.083313,155.571732,530.725159,168.35585,514.630371,172.778076,497.769287,169.958099,373.973541,286.733124,390.961029,279.829041,410.809326,276.69751,431.0448,284.024323,449.289764,282.200012,463.628418,290.159485,472.355499,300.628571,458.220764,315.083466,440.316986,323.555084,420.889679,325.634613,401.371613,317.459595,385.124359,304.173157,407.165588,289.716827,427.884033,296.492706,445.153198,295.304932,443.213013,301.66507,424.973083,304.342468,405.101532,296.131256,1
6,'2024/07/04 11:53:10:256',1,288.572571,135.594223,288.343719,168.461182,290.587494,201.048798,295.660614,236.365814,306.49118,276.289398,322.236664,315.082642,341.984528,350.760254,367.571411,380.722351,400.101074,398.648071,431.755096,392.22171,459.639893,370.623993,484.432251,343.047394,506.695526,311.344696,524.773132,275.860413,539.739136,242.422821,552.747437,210.774796,562.75354,178.227753,329.479218,117.772018,348.375183,104.688026,372.872498,100.228371,398.106476,104.626251,422.036621,114.03759,484.902771,120.6698,506.999481,115.172134,529.119507,114.710365,549.149475,120.647125,562.625977,133.508286,448.562164,158.408234,446.797668,186.801346,445.090729,215.045166,443.064331,242.610764,409.577393,247.691071,421.698822,255.152054,435.123535,260.001434,448.04184,258.825623,460.608795,254.829758,357.991028,150.7742,374.413239,141.29776,393.669159,143.634537,407.091888,155.747467,390.423492,159.177826,373.231689,158.026627,481.440338,163.159302,498.352753,154.184616,517.469543,155.868866,530.443542,168.541275,514.168274,173.008087,497.067902,170.235535,373.533203,286.879364,390.478424,279.82016,410.390991,276.647552,430.70752,284.004303,449.058685,282.006165,463.558899,289.896027,472.384613,300.381897,458.211426,315.136475,440.188965,323.861328,420.608307,326.088074,400.994812,317.872803,384.675201,304.44986,406.327118,289.638306,427.559662,296.512665,445.410309,295.222717,443.448822,301.887848,424.598755,304.674805,404.189056,296.335358,1
7,'2024/07/04 11:53:10:291',1,288.8414,134.690506,288.411835,167.556,290.444702,200.148697,295.33075,235.469101,306.021515,275.489258,321.638397,314.502655,341.39209,350.345123,367.043121,380.481476,399.697174,398.506927,431.367706,392.105804,459.288055,370.576141,484.137665,343.061798,506.340454,311.274963,524.295837,275.632385,539.27002,242.087219,552.375244,210.294479,562.564758,177.61615,330.884979,117.295326,350.576721,104.322899,375.740845,100.268288,401.487061,105.180458,425.738434,115.308327,483.187866,120.895042,505.956573,115.164772,528.764587,114.731636,549.372375,121.040573,563.121216,134.518982,448.782166,158.671951,446.921021,187.096695,445.146484,215.406097,443.069458,243.069016,409.518921,247.820755,421.471191,255.485107,434.834045,260.408478,447.739624,259.228485,460.257538,255.089355,358.920593,150.513046,375.317932,141.082306,394.479614,143.567123,407.6828,155.834412,391.102234,159.098328,374.02774,157.853302,481.299774,163.319626,498.201477,154.247131,517.267639,155.909363,530.09906,168.627457,513.88385,173.073212,496.877686,170.302185,373.394501,286.982941,390.359894,280.09021,410.201324,276.999847,430.454529,284.312042,448.730865,282.427094,463.136169,290.262146,471.961792,300.575378,457.748596,315.122009,439.787598,323.68927,420.284821,325.830536,400.75528,317.665314,384.510712,304.384888,406.286743,289.83606,427.29895,296.656036,444.855042,295.425964,442.870758,301.934845,424.313202,304.654816,404.143646,296.385315,1
8,'2024/07/04 11:53:10:323',1,288.281616,134.473038,287.852722,167.236084,289.905762,199.708176,294.840576,234.99501,305.564331,275.064514,321.246063,314.096527,341.005371,349.984222,366.623718,380.158875,399.214691,398.315948,430.923279,392.022522,458.974792,370.610809,483.994781,343.182404,506.40625,311.425446,524.473022,275.677002,539.424744,242.004028,552.463379,210.162125,562.562683,177.457092,329.273529,118.097183,348.134949,105.242828,372.537659,100.944511,397.651855,105.403839,421.447266,114.822472,484.289215,121.405945,506.529358,115.867485,528.780273,115.380791,548.91272,121.343323,562.433655,134.23587,447.81366,159.095276,446.018463,187.606445,444.291504,215.971222,442.257233,243.64473,408.792084,248.338776,420.871765,255.813354,434.252441,260.674103,447.227356,259.48938,459.861725,255.493576,357.587463,151.203064,374.05719,141.646454,393.358978,144.102264,406.694122,156.38588,390.000793,159.843033,372.785889,158.643814,480.735291,163.712173,497.732819,154.557816,516.947632,156.205292,529.948303,168.93811,513.609802,173.571838,496.428619,170.828766,372.684174,286.944733,389.729218,280.116302,409.689911,277.145294,430.01886,284.585266,448.445007,282.537079,463.084137,290.259888,472.167938,300.494843,457.799042,315.275909,439.61499,324.001709,419.902039,326.220642,400.230225,317.977356,383.847504,304.527618,405.492706,289.88559,426.865173,296.882874,444.931702,295.53653,442.949646,302.262817,423.856842,305.025177,403.278717,296.614166,1
9,'2024/07/04 11:53:10:357',1,288.492371,133.50293,287.704407,166.094589,289.396332,198.391037,294.115326,233.518295,304.759766,273.514954,320.303314,312.633148,339.994202,348.634369,365.542816,379.053528,398.17215,397.455627,429.816162,391.533173,457.90976,370.560272,483.125641,343.659119,505.679077,312.236786,523.794617,276.539764,538.907776,242.792419,552.161865,210.782516,562.557922,177.90892,331.108734,117.52491,350.724304,104.812126,375.707947,100.891655,401.244537,105.819756,425.284943,115.869026,482.895416,121.562988,505.822968,115.851212,528.754211,115.453773,549.456482,121.824745,563.300293,135.331375,448.272095,159.240021,446.370392,187.728745,444.570251,216.10495,442.475525,243.822601,408.796875,248.277252,420.686646,255.968475,433.992615,260.916229,446.98642,259.776794,459.62265,255.690033,359.282104,150.918243,375.527466,141.608627,394.453705,144.174576,407.447083,156.337845,391.059601,159.56044,374.191345,158.286163,481.032379,163.866638,497.874542,154.873962,516.78894,156.560562,529.533569,169.113647,513.416626,173.575912,496.52002,170.823822,372.436279,287.064514,389.526703,280.271423,409.476868,277.295654,429.80896,284.723267,448.213287,282.892548,462.727417,290.766602,471.739349,300.988495,457.267212,315.655304,439.044037,324.257111,419.309631,326.305756,399.684326,318.046844,383.421204,304.601135,405.514832,290.165924,426.529846,297.061768,444.130615,295.896393,442.057648,302.463135,423.421875,305.086487,403.262848,296.736298,1
10,'2024/07/04 11:53:10:393',1,288.073547,134.584503,287.487915,167.166412,289.395142,199.448441,294.286926,234.530457,305.074097,274.40451,320.707581,313.371307,340.329529,349.326843,365.7948,379.706543,398.348907,398.045135,429.983246,392.122681,458.030365,371.074036,483.114075,344.009674,505.569061,312.536438,523.61969,276.868774,538.663879,243.130081,551.868225,211.140106,562.174988,178.284286,330.201385,118.079765,349.231171,105.460892,373.640808,101.384972,398.689758,105.964638,422.370392,115.480927,483.81839,121.939606,506.230896,116.418137,528.630371,116.007278,548.888611,122.103554,562.512146,135.151993,447.766052,159.707901,446.004791,188.084015,444.320313,216.318939,442.325043,243.869247,408.663391,248.740189,420.658203,256.25238,433.978363,261.120392,446.959686,259.987305,459.608337,256.014557,358.136261,151.201996,374.537048,141.829025,393.659485,144.349167,406.864868,156.532654,390.298492,159.793839,373.230316,158.549454,480.709229,164.006805,497.674103,154.982956,516.749451,156.686157,529.699158,169.27063,513.4422,173.734787,496.361725,170.981476,372.488525,287.110474,389.577881,280.389313,409.511169,277.538361,429.773346,285.002991,448.116913,283.050476,462.692474,290.764435,471.789307,300.907806,457.345673,315.625366,439.123077,324.258026,419.422943,326.35791,399.804932,318.110443,383.513855,304.663055,405.091766,290.210083,426.530518,297.238739,444.605927,296.011505,442.571014,302.628967,423.446411,305.242798,402.823639,296.812256,1
